date_sk,date,start_of_year,start_of_quarter,start_of_month,load_date
377,2013-01-11,2013-01-01,2013-01-01,2013-01-01,2026-04-04
378,2013-01-12,2013-01-01,2013-01-01,2013-01-01,2026-04-04
379,2013-01-13,2013-01-01,2013-01-01,2013-01-01,2026-04-04
380,2013-01-14,2013-01-01,2013-01-01,2013-01-01,2026-04-04
381,2013-01-15,2013-01-01,2013-01-01,2013-01-01,2026-04-04
382,2013-01-16,2013-01-01,2013-01-01,2013-01-01,2026-04-04
383,2013-01-17,2013-01-01,2013-01-01,2013-01-01,2026-04-04
384,2013-01-18,2013-01-01,2013-01-01,2013-01-01,2026-04-04
385,2013-01-19,2013-01-01,2013-01-01,2013-01-01,2026-04-04
386,2013-01-20,2013-01-01,2013-01-01,2013-01-01,2026-04-04
387,2013-01-21,2013-01-01,2013-01-01,2013-01-01,2026-04-04
388,2013-01-22,2013-01-01,2013-01-01,2013-01-01,2026-04-04
389,2013-01-23,2013-01-01,2013-01-01,2013-01-01,2026-04-04
390,2013-01-24,2013-01-01,2013-01-01,2013-01-01,2026-04-04
391,2013-01-25,2013-01-01,2013-01-01,2013-01-01,2026-04-04
392,2013-01-26,2013-01-01,2013-01-01,2013-01-01,2026-04-04
393,2013-01-27,2013-01-01,2013-01-01,2013-01-01,2026-04-04
394,2013-01-28,2013-01-01,2013-01-01,2013-01-01,2026-04-04
395,2013-01-29,2013-01-01,2013-01-01,2013-01-01,2026-04-04
396,2013-01-30,2013-01-01,2013-01-01,2013-01-01,2026-04-04
397,2013-01-31,2013-01-01,2013-01-01,2013-01-01,2026-04-04
398,2013-02-01,2013-01-01,2013-01-01,2013-02-01,2026-04-04
399,2013-02-02,2013-01-01,2013-01-01,2013-02-01,2026-04-04
400,2013-02-03,2013-01-01,2013-01-01,2013-02-01,2026-04-04
401,2013-02-04,2013-01-01,2013-01-01,2013-02-01,2026-04-04
402,2013-02-05,2013-01-01,2013-01-01,2013-02-01,2026-04-04
403,2013-02-06,2013-01-01,2013-01-01,2013-02-01,2026-04-04
404,2013-02-07,2013-01-01,2013-01-01,2013-02-01,2026-04-04
405,2013-02-08,2013-01-01,2013-01-01,2013-02-01,2026-04-04
406,2013-02-09,2013-01-01,2013-01-01,2013-02-01,2026-04-04
407,2013-02-10,2013-01-01,2013-01-01,2013-02-01,2026-04-04
408,2013-02-11,2013-01-01,2013-01-01,2013-02-01,2026-04-04
409,2013-02-12,2013-01-01,2013-01-01,2013-02-01,2026-04-04
410,2013-02-13,2013-01-01,2013-01-01,2013-02-01,2026-04-04
411,2013-02-14,2013-01-01,2013-01-01,2013-02-01,2026-04-04
412,2013-02-15,2013-01-01,2013-01-01,2013-02-01,2026-04-04
413,2013-02-16,2013-01-01,2013-01-01,2013-02-01,2026-04-04
414,2013-02-17,2013-01-01,2013-01-01,2013-02-01,2026-04-04
415,2013-02-18,2013-01-01,2013-01-01,2013-02-01,2026-04-04
416,2013-02-19,2013-01-01,2013-01-01,2013-02-01,2026-04-04
417,2013-02-20,2013-01-01,2013-01-01,2013-02-01,2026-04-04
418,2013-02-21,2013-01-01,2013-01-01,2013-02-01,2026-04-04
419,2013-02-22,2013-01-01,2013-01-01,2013-02-01,2026-04-04
420,2013-02-23,2013-01-01,2013-01-01,2013-02-01,2026-04-04
421,2013-02-24,2013-01-01,2013-01-01,2013-02-01,2026-04-04
422,2013-02-25,2013-01-01,2013-01-01,2013-02-01,2026-04-04
423,2013-02-26,2013-01-01,2013-01-01,2013-02-01,2026-04-04
424,2013-02-27,2013-01-01,2013-01-01,2013-02-01,2026-04-04
425,2013-02-28,2013-01-01,2013-01-01,2013-02-01,2026-04-04
426,2013-03-01,2013-01-01,2013-01-01,2013-03-01,2026-04-04
427,2013-03-02,2013-01-01,2013-01-01,2013-03-01,2026-04-04
428,2013-03-03,2013-01-01,2013-01-01,2013-03-01,2026-04-04
429,2013-03-04,2013-01-01,2013-01-01,2013-03-01,2026-04-04
430,2013-03-05,2013-01-01,2013-01-01,2013-03-01,2026-04-04
431,2013-03-06,2013-01-01,2013-01-01,2013-03-01,2026-04-04
432,2013-03-07,2013-01-01,2013-01-01,2013-03-01,2026-04-04
433,2013-03-08,2013-01-01,2013-01-01,2013-03-01,2026-04-04
434,2013-03-09,2013-01-01,2013-01-01,2013-03-01,2026-04-04
435,2013-03-10,2013-01-01,2013-01-01,2013-03-01,2026-04-04
436,2013-03-11,2013-01-01,2013-01-01,2013-03-01,2026-04-04
437,2013-03-12,2013-01-01,2013-01-01,2013-03-01,2026-04-04
438,2013-03-13,2013-01-01,2013-01-01,2013-03-01,2026-04-04
439,2013-03-14,2013-01-01,2013-01-01,2013-03-01,2026-04-04
440,2013-03-15,2013-01-01,2013-01-01,2013-03-01,2026-04-04
441,2013-03-16,2013-01-01,2013-01-01,2013-03-01,2026-04-04
442,2013-03-17,2013-01-01,2013-01-01,2013-03-01,2026-04-04
443,2013-03-18,2013-01-01,2013-01-01,2013-03-01,2026-04-04
444,2013-03-19,2013-01-01,2013-01-01,2013-03-01,2026-04-04
445,2013-03-20,2013-01-01,2013-01-01,2013-03-01,2026-04-04
446,2013-03-21,2013-01-01,2013-01-01,2013-03-01,2026-04-04
447,2013-03-22,2013-01-01,2013-01-01,2013-03-01,2026-04-04
448,2013-03-23,2013-01-01,2013-01-01,2013-03-01,2026-04-04
449,2013-03-24,2013-01-01,2013-01-01,2013-03-01,2026-04-04
450,2013-03-25,2013-01-01,2013-01-01,2013-03-01,2026-04-04
451,2013-03-26,2013-01-01,2013-01-01,2013-03-01,2026-04-04
452,2013-03-27,2013-01-01,2013-01-01,2013-03-01,2026-04-04
453,2013-03-28,2013-01-01,2013-01-01,2013-03-01,2026-04-04
454,2013-03-29,2013-01-01,2013-01-01,2013-03-01,2026-04-04
455,2013-03-30,2013-01-01,2013-01-01,2013-03-01,2026-04-04
456,2013-03-31,2013-01-01,2013-01-01,2013-03-01,2026-04-04
457,2013-04-01,2013-01-01,2013-04-01,2013-04-01,2026-04-04
458,2013-04-02,2013-01-01,2013-04-01,2013-04-01,2026-04-04
459,2013-04-03,2013-01-01,2013-04-01,2013-04-01,2026-04-04
460,2013-04-04,2013-01-01,2013-04-01,2013-04-01,2026-04-04
461,2013-04-05,2013-01-01,2013-04-01,2013-04-01,2026-04-04
462,2013-04-06,2013-01-01,2013-04-01,2013-04-01,2026-04-04
463,2013-04-07,2013-01-01,2013-04-01,2013-04-01,2026-04-04
464,2013-04-08,2013-01-01,2013-04-01,2013-04-01,2026-04-04
465,2013-04-09,2013-01-01,2013-04-01,2013-04-01,2026-04-04
466,2013-04-10,2013-01-01,2013-04-01,2013-04-01,2026-04-04
467,2013-04-11,2013-01-01,2013-04-01,2013-04-01,2026-04-04
468,2013-04-12,2013-01-01,2013-04-01,2013-04-01,2026-04-04
469,2013-04-13,2013-01-01,2013-04-01,2013-04-01,2026-04-04
470,2013-04-14,2013-01-01,2013-04-01,2013-04-01,2026-04-04
471,2013-04-15,2013-01-01,2013-04-01,2013-04-01,2026-04-04
472,2013-04-16,2013-01-01,2013-04-01,2013-04-01,2026-04-04
473,2013-04-17,2013-01-01,2013-04-01,2013-04-01,2026-04-04
474,2013-04-18,2013-01-01,2013-04-01,2013-04-01,2026-04-04
475,2013-04-19,2013-01-01,2013-04-01,2013-04-01,2026-04-04
476,2013-04-20,2013-01-01,2013-04-01,2013-04-01,2026-04-04
477,2013-04-21,2013-01-01,2013-04-01,2013-04-01,2026-04-04
478,2013-04-22,2013-01-01,2013-04-01,2013-04-01,2026-04-04
479,2013-04-23,2013-01-01,2013-04-01,2013-04-01,2026-04-04
480,2013-04-24,2013-01-01,2013-04-01,2013-04-01,2026-04-04
481,2013-04-25,2013-01-01,2013-04-01,2013-04-01,2026-04-04
482,2013-04-26,2013-01-01,2013-04-01,2013-04-01,2026-04-04
483,2013-04-27,2013-01-01,2013-04-01,2013-04-01,2026-04-04
484,2013-04-28,2013-01-01,2013-04-01,2013-04-01,2026-04-04
485,2013-04-29,2013-01-01,2013-04-01,2013-04-01,2026-04-04
486,2013-04-30,2013-01-01,2013-04-01,2013-04-01,2026-04-04
487,2013-05-01,2013-01-01,2013-04-01,2013-05-01,2026-04-04
488,2013-05-02,2013-01-01,2013-04-01,2013-05-01,2026-04-04
489,2013-05-03,2013-01-01,2013-04-01,2013-05-01,2026-04-04
490,2013-05-04,2013-01-01,2013-04-01,2013-05-01,2026-04-04
491,2013-05-05,2013-01-01,2013-04-01,2013-05-01,2026-04-04
492,2013-05-06,2013-01-01,2013-04-01,2013-05-01,2026-04-04
493,2013-05-07,2013-01-01,2013-04-01,2013-05-01,2026-04-04
494,2013-05-08,2013-01-01,2013-04-01,2013-05-01,2026-04-04
495,2013-05-09,2013-01-01,2013-04-01,2013-05-01,2026-04-04
496,2013-05-10,2013-01-01,2013-04-01,2013-05-01,2026-04-04
497,2013-05-11,2013-01-01,2013-04-01,2013-05-01,2026-04-04
498,2013-05-12,2013-01-01,2013-04-01,2013-05-01,2026-04-04
499,2013-05-13,2013-01-01,2013-04-01,2013-05-01,2026-04-04
500,2013-05-14,2013-01-01,2013-04-01,2013-05-01,2026-04-04
501,2013-05-15,2013-01-01,2013-04-01,2013-05-01,2026-04-04
502,2013-05-16,2013-01-01,2013-04-01,2013-05-01,2026-04-04
503,2013-05-17,2013-01-01,2013-04-01,2013-05-01,2026-04-04
504,2013-05-18,2013-01-01,2013-04-01,2013-05-01,2026-04-04
505,2013-05-19,2013-01-01,2013-04-01,2013-05-01,2026-04-04
506,2013-05-20,2013-01-01,2013-04-01,2013-05-01,2026-04-04
507,2013-05-21,2013-01-01,2013-04-01,2013-05-01,2026-04-04
508,2013-05-22,2013-01-01,2013-04-01,2013-05-01,2026-04-04
509,2013-05-23,2013-01-01,2013-04-01,2013-05-01,2026-04-04
510,2013-05-24,2013-01-01,2013-04-01,2013-05-01,2026-04-04
511,2013-05-25,2013-01-01,2013-04-01,2013-05-01,2026-04-04
512,2013-05-26,2013-01-01,2013-04-01,2013-05-01,2026-04-04
513,2013-05-27,2013-01-01,2013-04-01,2013-05-01,2026-04-04
514,2013-05-28,2013-01-01,2013-04-01,2013-05-01,2026-04-04
515,2013-05-29,2013-01-01,2013-04-01,2013-05-01,2026-04-04
516,2013-05-30,2013-01-01,2013-04-01,2013-05-01,2026-04-04
517,2013-05-31,2013-01-01,2013-04-01,2013-05-01,2026-04-04
518,2013-06-01,2013-01-01,2013-04-01,2013-06-01,2026-04-04
519,2013-06-02,2013-01-01,2013-04-01,2013-06-01,2026-04-04
520,2013-06-03,2013-01-01,2013-04-01,2013-06-01,2026-04-04
521,2013-06-04,2013-01-01,2013-04-01,2013-06-01,2026-04-04
522,2013-06-05,2013-01-01,2013-04-01,2013-06-01,2026-04-04
523,2013-06-06,2013-01-01,2013-04-01,2013-06-01,2026-04-04
524,2013-06-07,2013-01-01,2013-04-01,2013-06-01,2026-04-04
525,2013-06-08,2013-01-01,2013-04-01,2013-06-01,2026-04-04
526,2013-06-09,2013-01-01,2013-04-01,2013-06-01,2026-04-04
527,2013-06-10,2013-01-01,2013-04-01,2013-06-01,2026-04-04
528,2013-06-11,2013-01-01,2013-04-01,2013-06-01,2026-04-04
529,2013-06-12,2013-01-01,2013-04-01,2013-06-01,2026-04-04
530,2013-06-13,2013-01-01,2013-04-01,2013-06-01,2026-04-04
531,2013-06-14,2013-01-01,2013-04-01,2013-06-01,2026-04-04
532,2013-06-15,2013-01-01,2013-04-01,2013-06-01,2026-04-04
533,2013-06-16,2013-01-01,2013-04-01,2013-06-01,2026-04-04
534,2013-06-17,2013-01-01,2013-04-01,2013-06-01,2026-04-04
535,2013-06-18,2013-01-01,2013-04-01,2013-06-01,2026-04-04
536,2013-06-19,2013-01-01,2013-04-01,2013-06-01,2026-04-04
537,2013-06-20,2013-01-01,2013-04-01,2013-06-01,2026-04-04
538,2013-06-21,2013-01-01,2013-04-01,2013-06-01,2026-04-04
539,2013-06-22,2013-01-01,2013-04-01,2013-06-01,2026-04-04
540,2013-06-23,2013-01-01,2013-04-01,2013-06-01,2026-04-04
541,2013-06-24,2013-01-01,2013-04-01,2013-06-01,2026-04-04
542,2013-06-25,2013-01-01,2013-04-01,2013-06-01,2026-04-04
543,2013-06-26,2013-01-01,2013-04-01,2013-06-01,2026-04-04
544,2013-06-27,2013-01-01,2013-04-01,2013-06-01,2026-04-04
545,2013-06-28,2013-01-01,2013-04-01,2013-06-01,2026-04-04
546,2013-06-29,2013-01-01,2013-04-01,2013-06-01,2026-04-04
547,2013-06-30,2013-01-01,2013-04-01,2013-06-01,2026-04-04
548,2013-07-01,2013-01-01,2013-07-01,2013-07-01,2026-04-04
549,2013-07-02,2013-01-01,2013-07-01,2013-07-01,2026-04-04
550,2013-07-03,2013-01-01,2013-07-01,2013-07-01,2026-04-04
551,2013-07-04,2013-01-01,2013-07-01,2013-07-01,2026-04-04
552,2013-07-05,2013-01-01,2013-07-01,2013-07-01,2026-04-04
553,2013-07-06,2013-01-01,2013-07-01,2013-07-01,2026-04-04
554,2013-07-07,2013-01-01,2013-07-01,2013-07-01,2026-04-04
555,2013-07-08,2013-01-01,2013-07-01,2013-07-01,2026-04-04
556,2013-07-09,2013-01-01,2013-07-01,2013-07-01,2026-04-04
557,2013-07-10,2013-01-01,2013-07-01,2013-07-01,2026-04-04
558,2013-07-11,2013-01-01,2013-07-01,2013-07-01,2026-04-04
559,2013-07-12,2013-01-01,2013-07-01,2013-07-01,2026-04-04
560,2013-07-13,2013-01-01,2013-07-01,2013-07-01,2026-04-04
561,2013-07-14,2013-01-01,2013-07-01,2013-07-01,2026-04-04
562,2013-07-15,2013-01-01,2013-07-01,2013-07-01,2026-04-04
563,2013-07-16,2013-01-01,2013-07-01,2013-07-01,2026-04-04
564,2013-07-17,2013-01-01,2013-07-01,2013-07-01,2026-04-04
565,2013-07-18,2013-01-01,2013-07-01,2013-07-01,2026-04-04
566,2013-07-19,2013-01-01,2013-07-01,2013-07-01,2026-04-04
567,2013-07-20,2013-01-01,2013-07-01,2013-07-01,2026-04-04
568,2013-07-21,2013-01-01,2013-07-01,2013-07-01,2026-04-04
569,2013-07-22,2013-01-01,2013-07-01,2013-07-01,2026-04-04
570,2013-07-23,2013-01-01,2013-07-01,2013-07-01,2026-04-04
571,2013-07-24,2013-01-01,2013-07-01,2013-07-01,2026-04-04
572,2013-07-25,2013-01-01,2013-07-01,2013-07-01,2026-04-04
573,2013-07-26,2013-01-01,2013-07-01,2013-07-01,2026-04-04
574,2013-07-27,2013-01-01,2013-07-01,2013-07-01,2026-04-04
575,2013-07-28,2013-01-01,2013-07-01,2013-07-01,2026-04-04
576,2013-07-29,2013-01-01,2013-07-01,2013-07-01,2026-04-04
577,2013-07-30,2013-01-01,2013-07-01,2013-07-01,2026-04-04
578,2013-07-31,2013-01-01,2013-07-01,2013-07-01,2026-04-04
579,2013-08-01,2013-01-01,2013-07-01,2013-08-01,2026-04-04
580,2013-08-02,2013-01-01,2013-07-01,2013-08-01,2026-04-04
581,2013-08-03,2013-01-01,2013-07-01,2013-08-01,2026-04-04
582,2013-08-04,2013-01-01,2013-07-01,2013-08-01,2026-04-04
583,2013-08-05,2013-01-01,2013-07-01,2013-08-01,2026-04-04
584,2013-08-06,2013-01-01,2013-07-01,2013-08-01,2026-04-04
585,2013-08-07,2013-01-01,2013-07-01,2013-08-01,2026-04-04
586,2013-08-08,2013-01-01,2013-07-01,2013-08-01,2026-04-04
587,2013-08-09,2013-01-01,2013-07-01,2013-08-01,2026-04-04
588,2013-08-10,2013-01-01,2013-07-01,2013-08-01,2026-04-04
589,2013-08-11,2013-01-01,2013-07-01,2013-08-01,2026-04-04
590,2013-08-12,2013-01-01,2013-07-01,2013-08-01,2026-04-04
591,2013-08-13,2013-01-01,2013-07-01,2013-08-01,2026-04-04
592,2013-08-14,2013-01-01,2013-07-01,2013-08-01,2026-04-04
593,2013-08-15,2013-01-01,2013-07-01,2013-08-01,2026-04-04
594,2013-08-16,2013-01-01,2013-07-01,2013-08-01,2026-04-04
595,2013-08-17,2013-01-01,2013-07-01,2013-08-01,2026-04-04
596,2013-08-18,2013-01-01,2013-07-01,2013-08-01,2026-04-04
597,2013-08-19,2013-01-01,2013-07-01,2013-08-01,2026-04-04
598,2013-08-20,2013-01-01,2013-07-01,2013-08-01,2026-04-04
599,2013-08-21,2013-01-01,2013-07-01,2013-08-01,2026-04-04
600,2013-08-22,2013-01-01,2013-07-01,2013-08-01,2026-04-04
601,2013-08-23,2013-01-01,2013-07-01,2013-08-01,2026-04-04
602,2013-08-24,2013-01-01,2013-07-01,2013-08-01,2026-04-04
603,2013-08-25,2013-01-01,2013-07-01,2013-08-01,2026-04-04
604,2013-08-26,2013-01-01,2013-07-01,2013-08-01,2026-04-04
605,2013-08-27,2013-01-01,2013-07-01,2013-08-01,2026-04-04
606,2013-08-28,2013-01-01,2013-07-01,2013-08-01,2026-04-04
607,2013-08-29,2013-01-01,2013-07-01,2013-08-01,2026-04-04
608,2013-08-30,2013-01-01,2013-07-01,2013-08-01,2026-04-04
609,2013-08-31,2013-01-01,2013-07-01,2013-08-01,2026-04-04
610,2013-09-01,2013-01-01,2013-07-01,2013-09-01,2026-04-04
611,2013-09-02,2013-01-01,2013-07-01,2013-09-01,2026-04-04
612,2013-09-03,2013-01-01,2013-07-01,2013-09-01,2026-04-04
613,2013-09-04,2013-01-01,2013-07-01,2013-09-01,2026-04-04
614,2013-09-05,2013-01-01,2013-07-01,2013-09-01,2026-04-04
615,2013-09-06,2013-01-01,2013-07-01,2013-09-01,2026-04-04
616,2013-09-07,2013-01-01,2013-07-01,2013-09-01,2026-04-04
617,2013-09-08,2013-01-01,2013-07-01,2013-09-01,2026-04-04
618,2013-09-09,2013-01-01,2013-07-01,2013-09-01,2026-04-04
619,2013-09-10,2013-01-01,2013-07-01,2013-09-01,2026-04-04
620,2013-09-11,2013-01-01,2013-07-01,2013-09-01,2026-04-04
621,2013-09-12,2013-01-01,2013-07-01,2013-09-01,2026-04-04
622,2013-09-13,2013-01-01,2013-07-01,2013-09-01,2026-04-04
623,2013-09-14,2013-01-01,2013-07-01,2013-09-01,2026-04-04
624,2013-09-15,2013-01-01,2013-07-01,2013-09-01,2026-04-04
625,2013-09-16,2013-01-01,2013-07-01,2013-09-01,2026-04-04
626,2013-09-17,2013-01-01,2013-07-01,2013-09-01,2026-04-04
627,2013-09-18,2013-01-01,2013-07-01,2013-09-01,2026-04-04
628,2013-09-19,2013-01-01,2013-07-01,2013-09-01,2026-04-04
629,2013-09-20,2013-01-01,2013-07-01,2013-09-01,2026-04-04
630,2013-09-21,2013-01-01,2013-07-01,2013-09-01,2026-04-04
631,2013-09-22,2013-01-01,2013-07-01,2013-09-01,2026-04-04
632,2013-09-23,2013-01-01,2013-07-01,2013-09-01,2026-04-04
633,2013-09-24,2013-01-01,2013-07-01,2013-09-01,2026-04-04
634,2013-09-25,2013-01-01,2013-07-01,2013-09-01,2026-04-04
635,2013-09-26,2013-01-01,2013-07-01,2013-09-01,2026-04-04
636,2013-09-27,2013-01-01,2013-07-01,2013-09-01,2026-04-04
637,2013-09-28,2013-01-01,2013-07-01,2013-09-01,2026-04-04
638,2013-09-29,2013-01-01,2013-07-01,2013-09-01,2026-04-04
639,2013-09-30,2013-01-01,2013-07-01,2013-09-01,2026-04-04
640,2013-10-01,2013-01-01,2013-10-01,2013-10-01,2026-04-04
641,2013-10-02,2013-01-01,2013-10-01,2013-10-01,2026-04-04
642,2013-10-03,2013-01-01,2013-10-01,2013-10-01,2026-04-04
643,2013-10-04,2013-01-01,2013-10-01,2013-10-01,2026-04-04
644,2013-10-05,2013-01-01,2013-10-01,2013-10-01,2026-04-04
645,2013-10-06,2013-01-01,2013-10-01,2013-10-01,2026-04-04
646,2013-10-07,2013-01-01,2013-10-01,2013-10-01,2026-04-04
647,2013-10-08,2013-01-01,2013-10-01,2013-10-01,2026-04-04
648,2013-10-09,2013-01-01,2013-10-01,2013-10-01,2026-04-04
649,2013-10-10,2013-01-01,2013-10-01,2013-10-01,2026-04-04
650,2013-10-11,2013-01-01,2013-10-01,2013-10-01,2026-04-04
651,2013-10-12,2013-01-01,2013-10-01,2013-10-01,2026-04-04
652,2013-10-13,2013-01-01,2013-10-01,2013-10-01,2026-04-04
653,2013-10-14,2013-01-01,2013-10-01,2013-10-01,2026-04-04
654,2013-10-15,2013-01-01,2013-10-01,2013-10-01,2026-04-04
655,2013-10-16,2013-01-01,2013-10-01,2013-10-01,2026-04-04
656,2013-10-17,2013-01-01,2013-10-01,2013-10-01,2026-04-04
657,2013-10-18,2013-01-01,2013-10-01,2013-10-01,2026-04-04
658,2013-10-19,2013-01-01,2013-10-01,2013-10-01,2026-04-04
659,2013-10-20,2013-01-01,2013-10-01,2013-10-01,2026-04-04
660,2013-10-21,2013-01-01,2013-10-01,2013-10-01,2026-04-04
661,2013-10-22,2013-01-01,2013-10-01,2013-10-01,2026-04-04
662,2013-10-23,2013-01-01,2013-10-01,2013-10-01,2026-04-04
663,2013-10-24,2013-01-01,2013-10-01,2013-10-01,2026-04-04
664,2013-10-25,2013-01-01,2013-10-01,2013-10-01,2026-04-04
665,2013-10-26,2013-01-01,2013-10-01,2013-10-01,2026-04-04
666,2013-10-27,2013-01-01,2013-10-01,2013-10-01,2026-04-04
667,2013-10-28,2013-01-01,2013-10-01,2013-10-01,2026-04-04
668,2013-10-29,2013-01-01,2013-10-01,2013-10-01,2026-04-04
669,2013-10-30,2013-01-01,2013-10-01,2013-10-01,2026-04-04
670,2013-10-31,2013-01-01,2013-10-01,2013-10-01,2026-04-04
671,2013-11-01,2013-01-01,2013-10-01,2013-11-01,2026-04-04
672,2013-11-02,2013-01-01,2013-10-01,2013-11-01,2026-04-04
673,2013-11-03,2013-01-01,2013-10-01,2013-11-01,2026-04-04
674,2013-11-04,2013-01-01,2013-10-01,2013-11-01,2026-04-04
675,2013-11-05,2013-01-01,2013-10-01,2013-11-01,2026-04-04
676,2013-11-06,2013-01-01,2013-10-01,2013-11-01,2026-04-04
677,2013-11-07,2013-01-01,2013-10-01,2013-11-01,2026-04-04
678,2013-11-08,2013-01-01,2013-10-01,2013-11-01,2026-04-04
679,2013-11-09,2013-01-01,2013-10-01,2013-11-01,2026-04-04
680,2013-11-10,2013-01-01,2013-10-01,2013-11-01,2026-04-04
681,2013-11-11,2013-01-01,2013-10-01,2013-11-01,2026-04-04
682,2013-11-12,2013-01-01,2013-10-01,2013-11-01,2026-04-04
683,2013-11-13,2013-01-01,2013-10-01,2013-11-01,2026-04-04
684,2013-11-14,2013-01-01,2013-10-01,2013-11-01,2026-04-04
685,2013-11-15,2013-01-01,2013-10-01,2013-11-01,2026-04-04
686,2013-11-16,2013-01-01,2013-10-01,2013-11-01,2026-04-04
687,2013-11-17,2013-01-01,2013-10-01,2013-11-01,2026-04-04
688,2013-11-18,2013-01-01,2013-10-01,2013-11-01,2026-04-04
689,2013-11-19,2013-01-01,2013-10-01,2013-11-01,2026-04-04
690,2013-11-20,2013-01-01,2013-10-01,2013-11-01,2026-04-04
691,2013-11-21,2013-01-01,2013-10-01,2013-11-01,2026-04-04
692,2013-11-22,2013-01-01,2013-10-01,2013-11-01,2026-04-04
693,2013-11-23,2013-01-01,2013-10-01,2013-11-01,2026-04-04
694,2013-11-24,2013-01-01,2013-10-01,2013-11-01,2026-04-04
695,2013-11-25,2013-01-01,2013-10-01,2013-11-01,2026-04-04
696,2013-11-26,2013-01-01,2013-10-01,2013-11-01,2026-04-04
697,2013-11-27,2013-01-01,2013-10-01,2013-11-01,2026-04-04
698,2013-11-28,2013-01-01,2013-10-01,2013-11-01,2026-04-04
699,2013-11-29,2013-01-01,2013-10-01,2013-11-01,2026-04-04
700,2013-11-30,2013-01-01,2013-10-01,2013-11-01,2026-04-04
701,2013-12-01,2013-01-01,2013-10-01,2013-12-01,2026-04-04
702,2013-12-02,2013-01-01,2013-10-01,2013-12-01,2026-04-04
703,2013-12-03,2013-01-01,2013-10-01,2013-12-01,2026-04-04
704,2013-12-04,2013-01-01,2013-10-01,2013-12-01,2026-04-04
705,2013-12-05,2013-01-01,2013-10-01,2013-12-01,2026-04-04
706,2013-12-06,2013-01-01,2013-10-01,2013-12-01,2026-04-04
707,2013-12-07,2013-01-01,2013-10-01,2013-12-01,2026-04-04
708,2013-12-08,2013-01-01,2013-10-01,2013-12-01,2026-04-04
709,2013-12-09,2013-01-01,2013-10-01,2013-12-01,2026-04-04
710,2013-12-10,2013-01-01,2013-10-01,2013-12-01,2026-04-04
711,2013-12-11,2013-01-01,2013-10-01,2013-12-01,2026-04-04
712,2013-12-12,2013-01-01,2013-10-01,2013-12-01,2026-04-04
713,2013-12-13,2013-01-01,2013-10-01,2013-12-01,2026-04-04
714,2013-12-14,2013-01-01,2013-10-01,2013-12-01,2026-04-04
715,2013-12-15,2013-01-01,2013-10-01,2013-12-01,2026-04-04
716,2013-12-16,2013-01-01,2013-10-01,2013-12-01,2026-04-04
717,2013-12-17,2013-01-01,2013-10-01,2013-12-01,2026-04-04
718,2013-12-18,2013-01-01,2013-10-01,2013-12-01,2026-04-04
719,2013-12-19,2013-01-01,2013-10-01,2013-12-01,2026-04-04
720,2013-12-20,2013-01-01,2013-10-01,2013-12-01,2026-04-04
721,2013-12-21,2013-01-01,2013-10-01,2013-12-01,2026-04-04
722,2013-12-22,2013-01-01,2013-10-01,2013-12-01,2026-04-04
723,2013-12-23,2013-01-01,2013-10-01,2013-12-01,2026-04-04
724,2013-12-24,2013-01-01,2013-10-01,2013-12-01,2026-04-04
725,2013-12-25,2013-01-01,2013-10-01,2013-12-01,2026-04-04
726,2013-12-26,2013-01-01,2013-10-01,2013-12-01,2026-04-04
727,2013-12-27,2013-01-01,2013-10-01,2013-12-01,2026-04-04
728,2013-12-28,2013-01-01,2013-10-01,2013-12-01,2026-04-04
729,2013-12-29,2013-01-01,2013-10-01,2013-12-01,2026-04-04
730,2013-12-30,2013-01-01,2013-10-01,2013-12-01,2026-04-04
731,2013-12-31,2013-01-01,2013-10-01,2013-12-01,2026-04-04
732,2014-01-01,2014-01-01,2014-01-01,2014-01-01,2026-04-04
733,2014-01-02,2014-01-01,2014-01-01,2014-01-01,2026-04-04
734,2014-01-03,2014-01-01,2014-01-01,2014-01-01,2026-04-04
735,2014-01-04,2014-01-01,2014-01-01,2014-01-01,2026-04-04
736,2014-01-05,2014-01-01,2014-01-01,2014-01-01,2026-04-04
737,2014-01-06,2014-01-01,2014-01-01,2014-01-01,2026-04-04
738,2014-01-07,2014-01-01,2014-01-01,2014-01-01,2026-04-04
739,2014-01-08,2014-01-01,2014-01-01,2014-01-01,2026-04-04
740,2014-01-09,2014-01-01,2014-01-01,2014-01-01,2026-04-04
741,2014-01-10,2014-01-01,2014-01-01,2014-01-01,2026-04-04
742,2014-01-11,2014-01-01,2014-01-01,2014-01-01,2026-04-04
743,2014-01-12,2014-01-01,2014-01-01,2014-01-01,2026-04-04
744,2014-01-13,2014-01-01,2014-01-01,2014-01-01,2026-04-04
745,2014-01-14,2014-01-01,2014-01-01,2014-01-01,2026-04-04
746,2014-01-15,2014-01-01,2014-01-01,2014-01-01,2026-04-04
747,2014-01-16,2014-01-01,2014-01-01,2014-01-01,2026-04-04
748,2014-01-17,2014-01-01,2014-01-01,2014-01-01,2026-04-04
749,2014-01-18,2014-01-01,2014-01-01,2014-01-01,2026-04-04
750,2014-01-19,2014-01-01,2014-01-01,2014-01-01,2026-04-04
751,2014-01-20,2014-01-01,2014-01-01,2014-01-01,2026-04-04
752,2014-01-21,2014-01-01,2014-01-01,2014-01-01,2026-04-04
753,2014-01-22,2014-01-01,2014-01-01,2014-01-01,2026-04-04
